Term,fdr,es,nes,lead_genes,subset
IL-6/JAK/STAT3 Signaling,0.012054688173898043,-0.556766047548221,-1.618281527981483,TGFB1;CSF2RA;IRF1;IL3RA;CBL;ITGA4;PTPN1;IRF9;STAT2;IL1B;IFNAR1;STAT1;LTBR;IFNGR1;IL6ST;BAK1;CD36;TNFRSF1A;JUN,age_changes_AXL_DC_02062026
Interferon Alpha Response,0.018545674113689296,-0.5460809586269749,-1.6434918665879574,OAS1;UBE2L6;MX1;IRF1;PLSCR1;OGFR;IFI30;ELF1;IRF9;SP110;CNP;STAT2;TAP1;SAMD9;LY6E;PSMB8;PSME1;TXNIP;PSMA3;ADAR;PSME2;LAP3;IRF2;SAMD9L;NUB1;PARP14;CASP1;BST2;SELL;CD47;TRIM26;EIF2AK2;PSMB9,age_changes_AXL_DC_02062026
Protein Secretion,0.03029126771902585,-0.4978706927502999,-1.527022134258499,COPB1;GNAS;TMX1;RPS6KA3;ARCN1;RAB9A;ATP6V1H;TSG101;STX7;MAPK1;BET1;M6PR;DNM1L;STX16;USO1;SOD1;SNAP23;AP3B1;CLTC;RAB14;SCRN1;VPS4B;TMED10;LAMP2;STX12;ADAM10,age_changes_AXL_DC_02062026
Interferon Gamma Response,0.05248425774174071,-0.4600238839448464,-1.4543286743591695,NFKB1;UBE2L6;MX1;LYSMD2;IRF1;PLSCR1;OGFR;PNP;IFI30;CIITA;AUTS2;PTPN1;SLAMF7;PFKP;IRF9;IRF8;SP110;STAT2;STAT1;TAP1;CASP3;VAMP8;LY6E;JAK2;MTHFD2;MX2;PSMB8;PSME1;BANK1;NCOA3;TXNIP;PSMA3;ADAR;IL10RA;PSME2;SAMHD1;RNF213;LAP3;PSMA2;IRF2;TNFAIP2;SAMD9L;LCP2;P2RY14;PARP14;CASP1;BST2;NFKBIA;XAF1;MT2A;PML;ICAM1;TRIM26;OAS2;EIF2AK2;PSMB9,age_changes_AXL_DC_02062026
Complement,0.05625521147819086,-0.45753994039587215,-1.4399245753172516,CTSB;IRF1;GNAI2;LGMN;PLSCR1;MSRB1;CTSD;LYN;TIMP2;STX4;PRKCD;PLEK;PRCP;CD46;DOCK10;CASP3;LIPA;CTSS;JAK2;GNAI3;KYNU;ZEB1;AKAP10;CD36;LAP3;LAMP2;GNB2;CASP9;RHOG;PPP4C;IRF2;APOBEC3G;LCP2;CALM3;ANG;XPNPEP1;CASP1;RAF1;CD59;CALM1;FCER1G;GMFB,age_changes_AXL_DC_02062026
UV Response Dn,0.061664366428016905,-0.4830870902713765,-1.4597786530337682,NFKB1;DAB2;PIK3CD;SPOP;ADD3;PHF3;ZMIZ1;NEK7;CDK13;RXRA;ATRX;PTEN;NIPBL;MIOS;RUNX1;ATP2B4;NR3C1;DYRK1A;AGGF1;MGMT;YTHDC1;SMAD3;PRKAR2B;FYN;RASA2;NRP1,age_changes_AXL_DC_02062026
IL-2/STAT5 Signaling,0.10054404751635838,-0.44786744705101783,-1.3845740211710327,ALCAM;CTSZ;PRNP;IL3RA;PLSCR1;GADD45B;PNP;SLC1A5;RABGAP1L;AHNAK;IRF8;AHCY;SERPINB6;IFNGR1;HUWE1;CASP3;CD81;DENND5A;ITGAE;DCPS;SCN9A;NDRG1;NCOA3;RNH1;IL10RA;CCND3;MAPKAPK2;LRRC8C;GSTO1;ST3GAL4;PDCD2L;MYO1E;XBP1;SELL;PLEC,age_changes_AXL_DC_02062026
Notch Signaling,0.1258787630466661,-0.5666901989373284,-1.3561520510422385,PSENEN;RBX1;APH1A;SKP1;CUL1;ST3GAL6;LFNG;FBXW11;DTX2,age_changes_AXL_DC_02062026
Hypoxia,0.15605095541401273,0.23752856488393476,1.3101899990040322,DDIT4;CDKN1A;PLAUR;FBP1;CXCR4;ZNF292;HK1;ZFP36;TNFAIP3;PPP1R15A;IDS;BNIP3L;KLHL24;GPI;FOS;TIPARP;ALDOA;ILVBL;KLF6;GAA;ATF3;FOXO3;MIF;PIM1;RBPJ;CDKN1B;TPI1;GBE1;DUSP1;SLC2A3;PFKL,age_changes_AXL_DC_02062026
PI3K/AKT/mTOR  Signaling,0.1748444942829485,-0.4308314221383034,-1.3206346451452795,ACTR2;DAPP1;RPS6KA3;RALB;PRKCB;STAT2;ACTR3;CSNK2B;MAPK1;EIF4E;CAB39;MAPKAP1;ITPR2;PTEN;CLTC;PIN1;MKNK2;VAV3;TSC2;TNFRSF1A;AKT1;HSP90B1;UBE2N;MAP2K6;NFKBIB;CALR;SQSTM1;RAF1;UBE2D3;GRK2,age_changes_AXL_DC_02062026
Allograft Rejection,0.26028853618562925,-0.4085291061659299,-1.2748514956889616,TGFB1;IGSF6;LYN;FYB1;CXCR3;IRF8;PRKCB;TAP2;IL1B;STAT1;CSK;TAP1;EIF4G3;NME1;IL16;IFNGR1;ABCE1;CTSS;JAK2;LY75;GALNT1;CCND3;EIF3J;AKT1;UBE2N;ABI1;EIF5A;IKBKB;LCP2;TNF;DEGS1;EIF3A;FGR;CD47;ICAM1;ETS1,age_changes_AXL_DC_02062026
TNF-alpha Signaling via NF-kB,0.267515923566879,0.261763596094205,1.326203123005362,CDKN1A;AREG;SOCS3;PLAUR;MAP3K8;BCL3;SNN;GADD45A;BCL2A1;NR4A2;JUNB;KLF4;ZFP36;TNFAIP3;SAT1;BTG2;SIK1;PPP1R15A;RELB;SGK1;KDM6B;TRIB1;MCL1;CEBPD;FOS;EHD1;TIPARP;TRIP10;CD69;ICOSLG;TSC22D1;KLF6;DUSP5,age_changes_AXL_DC_02062026
KRAS Signaling Dn,0.34182590233545646,0.2534945919450838,1.1103285640923268,SNN;MTHFR;NR4A2;TENT5C;COQ8A;BTG2;SGK1,age_changes_AXL_DC_02062026
TGF-beta Signaling,0.3625679289226257,-0.43619487916453065,-1.2346862335529725,TGFB1;FNTA;ARID4B;CDH1;NCOR2;CTNNB1;RHOA;TGFBR1;ID2;UBE2D3;XIAP;SMAD3;PMEPA1;SMURF2,age_changes_AXL_DC_02062026
